epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5243,2.0626,2.99475,1.49721,1,0.16848,0.47212,0.28901,1.27686,2.62629,1.13276,0.000549997,0.000549997,0.000549997
2,39.0365,1.54061,1.38242,1.23361,0.99251,0.98116,0.995,0.63133,1.333,0.97048,1.25764,0.00110019,0.00110019,0.00110019
3,57.4441,1.46097,1.12846,1.21106,0.98808,1,0.995,0.59905,1.42942,0.77944,1.3101,0.00164488,0.00164488,0.00164488
4,76.6927,1.47171,1.01758,1.22855,0.99438,1,0.995,0.66926,1.19753,0.64865,1.19187,0.00164225,0.00164225,0.00164225
5,96.093,1.41358,0.87992,1.21023,0.99146,1,0.995,0.58361,1.49924,0.65811,1.3373,0.00163399,0.00163399,0.00163399
6,111.225,1.45136,0.84087,1.23923,0.9904,1,0.995,0.68434,1.18355,0.56079,1.17828,0.00162574,0.00162574,0.00162574
7,126.375,1.37712,0.74546,1.18846,0.98343,1,0.995,0.66086,1.17379,0.53718,1.17538,0.00161749,0.00161749,0.00161749
8,141.495,1.3915,0.74805,1.19461,0.98971,1,0.995,0.68153,1.11973,0.55695,1.14313,0.00160924,0.00160924,0.00160924
9,157.097,1.36028,0.70837,1.18475,0.99177,1,0.995,0.70012,1.17874,0.49859,1.15773,0.00160099,0.00160099,0.00160099
10,171.947,1.36154,0.68906,1.18215,0.98838,1,0.995,0.67742,1.18222,0.55022,1.1786,0.00159274,0.00159274,0.00159274
11,187.045,1.36712,0.67987,1.21084,0.99238,1,0.995,0.65778,1.30806,0.53241,1.22523,0.00158448,0.00158448,0.00158448
12,202.119,1.37685,0.66958,1.19968,0.99437,1,0.995,0.71747,1.14154,0.47932,1.15811,0.00157623,0.00157623,0.00157623
13,217.485,1.35429,0.65951,1.17977,0.9939,1,0.995,0.71927,1.15969,0.48106,1.17269,0.00156798,0.00156798,0.00156798
14,233.517,1.34067,0.65915,1.18277,0.99344,1,0.995,0.68864,1.1268,0.46181,1.14423,0.00155973,0.00155973,0.00155973
15,248.929,1.35462,0.65471,1.2086,0.99074,1,0.995,0.70675,1.17319,0.48965,1.16387,0.00155148,0.00155148,0.00155148
16,264.093,1.37379,0.62671,1.19387,0.99028,1,0.995,0.67773,1.21498,0.47749,1.17709,0.00154323,0.00154323,0.00154323
17,279.403,1.31456,0.60097,1.19241,0.99244,1,0.995,0.69875,1.17031,0.43902,1.15806,0.00153497,0.00153497,0.00153497
18,294.757,1.33673,0.61056,1.19463,0.99272,1,0.995,0.68898,1.20475,0.45764,1.18675,0.00152672,0.00152672,0.00152672
19,310.318,1.33129,0.61587,1.17236,0.99049,1,0.995,0.68939,1.16113,0.44978,1.16777,0.00151847,0.00151847,0.00151847
20,327.295,1.32015,0.59914,1.18649,0.99032,1,0.995,0.67891,1.1714,0.47667,1.16698,0.00151022,0.00151022,0.00151022
21,343.031,1.32521,0.63326,1.17437,0.99039,1,0.995,0.69546,1.19298,0.4863,1.17605,0.00150197,0.00150197,0.00150197
22,358.088,1.35123,0.60879,1.20346,0.99034,1,0.995,0.70627,1.14482,0.48442,1.17874,0.00149372,0.00149372,0.00149372
23,373.43,1.32098,0.58988,1.18359,0.99424,1,0.995,0.69138,1.18162,0.46434,1.17606,0.00148546,0.00148546,0.00148546
24,389.092,1.30333,0.57252,1.18843,0.99396,1,0.995,0.70015,1.15835,0.44323,1.16105,0.00147721,0.00147721,0.00147721
